review,cleaned,sentiment,keyboard
apparently reassembled from the cutting room floor of any given daytime soap,apparently reassembled from the cutting room floor of any given daytime soap,Negative,"['soap', 'reassembled', 'floor']"
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science fiction elements of bug eyed monsters and futuristic women in skimpy clothes",they presume their audience wo nt sit still for a sociology lesson  however entertainingly presented  so they trot out the conventional science fiction elements of bug eyed monsters and futuristic women in skimpy clothes,Positive,"['sociology', 'audience', 'fiction']"
"this is a visually stunning rumination on love , memory , history and the war between art and commerce",this is a visually stunning rumination on love  memory  history and the war between art and commerce,Positive,"['art', 'history', 'commerce']"
jonathan parker 's bartleby should have been the be all end all of the modern office anomie films,jonathan parker s bartleby should have been the be all end all of the modern office anomie films,Neutral,"['bartleby', 'anomie', 'parker']"
campanella gets the tone just right funny in the middle of sad in the middle of hopeful,campanella gets the tone just right funny in the middle of sad in the middle of hopeful,Positive,"['campanella', 'hopeful', 'tone']"
a fan film that for the uninitiated plays better on video with the sound turned down,a fan film that for the uninitiated plays better on video with the sound turned down,Positive,"['film', 'video', 'fan']"
"b art and berling are both superb , while huppert is magnificent",b art and berling are both superb  while huppert is magnificent,Positive,"['berling', 'huppert', 'art']"
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium",a little less extreme than in the past  with longer exposition sequences between them  and with fewer gags to break the tedium,Neutral,"['exposition', 'extreme', 'gags']"
the film is strictly routine,the film is strictly routine,Neutral,"['film', 'routine', 'strictly']"
a lyrical metaphor for cultural and personal self discovery and a picaresque view of a little remembered world,a lyrical metaphor for cultural and personal self discovery and a picaresque view of a little remembered world,Neutral,"['lyrical', 'metaphor', 'self']"
the most repugnant adaptation of a classic text since roland joff and demi moore 's the scarlet letter,the most repugnant adaptation of a classic text since roland joff and demi moore s the scarlet letter,Neutral,"['scarlet', 'letter', 'joff']"
"for something as splendid looking as this particular film , the viewer expects something special but instead gets lrb sci fi rrb rehash",for something as splendid looking as this particular film  the viewer expects something special but instead gets lrb sci fi rrb rehash,Positive,"['film', 'rrb', 'viewer']"
"this is a stunning film , a one of a kind tour de force",this is a stunning film  a one of a kind tour de force,Positive,"['tour', 'film', 'force']"
